author;key;affiliation;university_homepage
Marlies Ockenfeld;journals/epodd/SullowGOPR93;Pamir University;http://www.pamir.edu.af/
Marlis Brunk;conf/fmldo/Brunk90;University of Wisconsin - Stout;http://www.uwstout.edu/
Marlon Dumas;journals/sigmod/RoddickABDEGHLMMMW00|conf/er/DumasFS99|conf/cikm/DumasFS98;Jones College;http://www.jones.edu/
Marlon Núñez;journals/ml/Nunez91;Shoreline Community College;http://www.shoreline.edu/
Marshall C. Pease;journals/jacm/PeaseSL80|journals/toplas/LamportSP82;University of Dallas;http://www.udallas.edu/
Marshall D. Brain;journals/tkde/BrainT94|journals/spe/BrainT89|journals/is/BrainT90;University of Lucknow;http://www.lucknowuniv.org/
Marshall I. Schor;conf/aaai/SchorDLT86;Voronezh State University;http://www.vsu.ru/
Marshall Isman;conf/usenix/LoVersoINNMW93;Tyumen State University;http://www.tsu.tmn.ru/
Marshall K. McKusick;journals/tocs/McKusickJLF84|conf/usenix/SeltzerBMS93;Gifu University for Education and Languages;http://www.gifu-kyoiku.ac.jp/
Marshall L. Fisher;journals/jacm/FisherH80;Sultan Idris Shah Polytechnic;http://www.psis.edu.my/
Marshall W. Bern;journals/ipl/Bern93|conf/focs/BernLW85;Lampang Vocational College   ;http://www.lampangvc.ac.th/
Marta Jessica Jakobisiak;conf/sigmod/BressanGFJHKLMPQSS97;Lumbini Buddhist University;http://www.lbu.edu.np/
Marta Rukoz;journals/dc/Rukoz91;Universidad Tecnologica de la Mixteca;http://www.utm.mx/
Martha A. Branstad;journals/csur/AdrionBC82;Persian Gulf University;http://www.pgu.ac.ir/
Martha Anderson;conf/ssdbm/IoannidisLARTYAN97;Universidad Albert Einstein;http://www.uae.edu.sv/
Martha E. Pollack;journals/ai/Pollack92;Chung-Ang University;http://www.cau.ac.kr/
Martha Escobar-Molano;journals/tkde/Escobar-MolanoGI96|conf/vldb/GhandeharizadehHJCELLTZ93|conf/pods/Escobar-MolanoHJ93|journals/ieeemm/Escobar-MolanoG97;Lancaster University Ghana;http://www.lancaster.edu.gh/
Martha Sideri;conf/icdt/PapadimitriouS92;Ecole Nationale Supérieure des Industries Textiles de Mulhouse;http://www.ensitm.fr/
Martha W. Evens;conf/sigmod/BeckleyER85|conf/fodo/BeckleyER85;Mohammad Ali Jinnah University, Karachi;http://www.jinnah.edu/
Marti A. Hearst;journals/sigmod/StonebrakerHP89|journals/cacm/RaoPHMCMHR95|conf/acl/Hearst94|conf/eds/StonebrakerH88|conf/sigir/HearstP93|conf/sigir/HearstK97|conf/sigir/HearstP96|conf/chi/Hearst95;University of Dallas;http://www.udallas.edu/
Martijn Koster;journals/cn/Koster94;Azerbaijan State Economic University;http://www.aseu.az/
Martin Alt;journals/jfp/HartelFAABBCFGGHHIJKLLLLRSTTTWWW96;Universidade Federal Rural do Rio de Janeiro;http://www.ufrrj.br/
Martin Andersson;conf/er/Andersson94|conf/sigmod/AnderssonADFGS93|journals/lncs/AnderssonDSYTY93|conf/ride/AnderssonDSYTY93;University of Medicine and Pharmacy of Targu Mures;http://www.umftgm.ro/
Martin B. Cooper;journals/ijmms/KiddC85;Chung-Ang University;http://www.cau.ac.kr/
Martin Bertram 0002;journals/sigmod/Bertram94;University of Medicine and Pharmacy of Targu Mures;http://www.umftgm.ro/
Martin Bever;journals/tods/BeverL85|conf/hpts/BeverFP87|conf/btw/LockemannABDFGKLLM85|conf/btw/LukeB85|conf/eci/BeverGLM81;Université Rennes II - Haute-Bretagne;http://www.uhb.fr/
Martin Bichler;journals/sigmod/BichlerSZ98|conf/ifip/BichlerBS98;Kamrah International Institute of Technology (KIIT);http://www.kiit.in/
Martin Boogaard;conf/dasfaa/GraaffVB93;Baltimore International College;http://www.bic.edu/
Martin Breunig;conf/ssdbm/BalonevBCP98|conf/ssd/BalovnevBC97|conf/igis/BodeBC94;Universidade Metodista de Piracicaba;http://www.unimep.br/
Martin Buchheit;conf/edbt/BuchheitJNS94|journals/is/BuchheitJNS94|journals/jair/BuchheitDS93|conf/ijcai/BuchheitDS93;Haramaya University;http://www.haramaya.edu.et/
Martin C. Cooper;journals/ai/Cooper89;Lumbini Buddhist University;http://www.lbu.edu.np/
Martin C. Rinard;conf/pldi/RinardD96;Brunel University Uxbridge;http://www.brunel.ac.uk/
Martin Charles Golumbic;journals/amai/FeldmanG90;Western Michigan University;http://www.wmich.edu/
Martin Chodorow;journals/ibmsj/HeidornJMBC82;Western Bible College;http://www.westernbible.edu/
Martin D. Fraser;journals/cacm/FraserKV94;Western Michigan University;http://www.wmich.edu/
Martin D. Murphy;journals/ijmms/BatesonAM87;University of Wisconsin - Stout;http://www.uwstout.edu/
Martin Davis;journals/ai/Davis80b|journals/jacm/DavisP60;University of Negros Occidental-Recoletos;http://www.uno-r.edu.ph/
Martin Dietzfelbinger;journals/jal/DietzfelbingerHKP97|conf/focs/DietzfelbingerKMHRT88;Lampang Vocational College   ;http://www.lampangvc.ac.th/
Martin Dowd;journals/jacm/BeeriDFS84;Jones College;http://www.jones.edu/
Martin Dürr;conf/jcdkb/DurrK88;Osaka University;http://www.osaka-u.ac.jp/
Martin E. Dyer;journals/jacm/DyerFK91|journals/siamcomp/DyerF88;Tyumen State University;http://www.tsu.tmn.ru/
Martin E. Modell;conf/er/Modell85;Chongqing Three Gorges University;http://www.sanxiau.edu.cn/
Martin E. Newell;journals/cacm/BlinnN76;Jinnah University for Women;http://www.juw.edu.pk/
Martin Erhart;conf/ida/SchikutaE97;Moody Bible Institute;http://www.moody.edu/
Martin Erwig;journals/tkde/ErwigG94|conf/er/ErwigSG98|conf/dbpl/ErwigL91|journals/geoinformatica/ErwigGSV99|conf/wg/Erwig92|conf/ssd/ErwigS97|conf/amast/Erwig93|conf/gis/ErwigGSV98|conf/dexaw/ErwigS99;University of Pittsburgh at Bradford;http://www.upb.pitt.edu/
Martin Ester;conf/icde/XuEKS98|conf/vldb/EsterKSWX98|conf/edbt/EsterW98|journals/ki/EsterKSX98|conf/ssd/EsterKX95|conf/ssd/EsterKS97|conf/kdd/EsterFKS98|conf/kdd/EsterKX95|conf/kdd/EsterKSX96|conf/kdd/EsterKSX97;Université Gaston Berger Saint-Louis;http://www.ugb.sn/
Martin F. Arlitt;journals/ton/ArlittW97;Université Chrétienne Bilingue du Congo;http://www.ucbc.org/
Martin F. Porter;conf/sigir/RobertsonRP80;Perm State Pharmaceutical Academy;http://www.psfa.ru/
Martin F. van Bommel;journals/tkde/BommelW94;Fachhochschulstudiengänge Wels;http://www.fh-wels.at/
Martin Farach;journals/jcss/AmirFGBP94|conf/soda/AmirF91;Shoreline Community College;http://www.shoreline.edu/
Martin Fowler;journals/joop/Fowler94;Mohammad Ali Jinnah University, Karachi;http://www.jinnah.edu/
Martin Fränzle;journals/it/BeckerPDFOW07;Kobe Jogakuin University;http://www.kobe-c.ac.jp/
Martin Fürer;journals/tcs/Furer82|conf/focs/CaiFI89;University of Agriculture Makurdi;http://www.uam.edu.ng/
Martin G. Brown;conf/mm/BrownFJJY95;Bundelkhand University;http://www.bundelkhanduniversity.org/
Martin G. Kienzle;journals/mms/DanK95|conf/compcon/KienzleDST95;Université de Caen Basse Normandie;http://www.unicaen.fr/
Martin Gaedke;conf/er/GaedkeBGS98|journals/cn/GellersenWG97|conf/efdbs/GaedkeT99;Universidad Autónoma de Nuevo León;http://www.uanl.mx/
Martin Glinz;conf/icde/GlinzL86|conf/btw/GlinzHL85|conf/icse/LudewigGHMMS85;Zhengzhou University of Technology;http://www.zzut.edu.cn/
Martin Gogolla;journals/tkde/GogollaCDHV95|journals/tods/GogollaH91|conf/er/HerzigG92|conf/er/Gogolla95|conf/er/HohensteinG88|conf/er/RichtersG98|conf/er/GogollaMW91|conf/er/GogollaHCDV93|conf/vldb/EhrichLG84|journals/dke/EngelsGHHLSE92|conf/ds/EhrichDG86|conf/isooms/HerzigG94|conf/tfais/LipeckEG85|conf/uml/GogollaR97|conf/tapsoft/Gogolla89|conf/disco/GogollaCH93|conf/caise/VlachantonisHGDCE93;Baltimore International College;http://www.bic.edu/
Martin Grohe;conf/pods/BenediktGLS00|conf/icdt/GroheM99|conf/icdt/FlumFG01|journals/tocl/GroheS00|conf/icalp/FrickG99|conf/lics/GroheS00|conf/lics/Grohe97|conf/lics/Grohe98;Castleton State College;http://www.csc.vsc.edu/
Martin H. Rapley;conf/ids/RapleyK94;Hanover College;http://www.hanover.edu/
Martin Hardwick;journals/tkde/HardwickS89|conf/icde/HardwickSS87|conf/icde/HardwickS86|conf/er/KetabchiCEH87|conf/dasfaa/PoulinH89|conf/sigmod/Hardwick87|journals/cacm/HardwickSRM96|journals/internet/HardwickSRM97|conf/oodbs/HardwickS88;Fontbonne College;http://www.fontbonne.edu/
Martin Herbach;journals/debu/StonebrakerBH98;Ecole Nationale Supérieure des Industries Textiles de Mulhouse;http://www.ensitm.fr/
Martin Huber;conf/slp/HuberV87;University of Nigeria;http://www.unn.edu.ng/
Martin Hughes;conf/tdb/DaviesLHC95;Handelshochschule Leipzig;http://www.hhl.de/
Martin Härtig;conf/btw/HartigD93|conf/ds/HartigD92|conf/oodbs/RehmRRLHGDA88|conf/dbsec/DittrichHP88;University of Benin;http://www.uniben.edu/
Martin K. Solomon;journals/tods/CooperS84;Evangel University;http://www.evangel.edu/
Martin Kay;journals/ai/BobrowKKNTW77;Kent State University - Stark;http://www.stark.kent.edu/
Martin Kracker;conf/er/KrackerN89|journals/sigmod/FankhauserKN91;Ecole Nationale Supérieure des Industries Textiles de Mulhouse;http://www.ensitm.fr/
Martin Kuklok;conf/dexa/BrecheFK95;Arab Open University;http://www.aou.org.bh/
Martin L. Kersten;journals/tkde/ApersBFGKW92|journals/tods/RietWKJ81|journals/vldb/BonczK99|conf/icde/KerstenB94|conf/icde/BronczWK98|conf/er/KerstenWDB86|conf/dasfaa/PellenkoftGK97|conf/vldb/Galindo-LegariaPK94|conf/vldb/BonczMK99|conf/vldb/SiebesK87|conf/vldb/PellenkoftLK97|conf/edbt/ApersKO88|conf/edbt/MitraKW00|conf/edbt/BonczQK96|conf/icdt/Galindo-LegariaPK95|journals/spe/KerstenW81|journals/spe/KerstenT84|journals/tse/WassermanPSK86|conf/ddss/RietK81|conf/ds/KerstenS86|conf/bncod/BonczKK96|conf/bncod/NesK98|conf/oodbs/KerstenS86|conf/dexa/KerstenK93|conf/kdd/HolsheimerKMT95|conf/kdd/HolsheimerK94|conf/iwdm/KerstenAHKW87|conf/iwdm/WilschutGAK89|conf/fodo/Kersten89;Chongqing University of Communications;http://www.cquc.edu.cn/
Martin L. Polaschek;journals/vldb/MuckP97|conf/icde/MuckP97|conf/dasfaa/MuckP97|conf/pos/MuckP96;Sonoda Women's University;http://www.sonoda-u.ac.jp/
Martin Müller 0001;conf/lpnmr/MullerD93;Coker College;http://www.coker.edu/
Martin N. Orton;journals/cacm/JacobsonBO94;Instituto Politécnico de Leiria;http://www.iplei.pt/
Martin Nilsson;conf/ijcai/Nilsson83;Karlshochschule International University;http://www.karlshochschule.de/
Martin Odersky;conf/pods/HelmMO91|journals/tcs/MarriottO96|conf/popl/OderskyW97|conf/oopsla/BrachaOSW98;Augustana University College;http://www.augustana.ab.ca/
Martin Otto 0001;conf/icdt/NevenOTB99|journals/ipl/OttoB96|journals/jsyml/Otto96|conf/stacs/GradelOR97|conf/csl/GradelO92;Siam Technology College;http://www.siamtechu.net/
Martin Podehl;conf/ssdbm/SvenssonPSC88;Chonbuk Sanup University of Technology (Howon University);http://www.howon.ac.kr/
Martin R. Frank;conf/edbt/FrankON92;American University of Beirut;http://www.aub.edu.lb/
Martin R. Woodward;journals/tse/WoodwardHH79;University of Kalyani;http://www.klyuniv.ac.in/
Martin Reiser;journals/jacm/ReiserL80|conf/ifip/ReiserK74;Iran University of Medical Sciences;http://www.iums.ac.ir/
Martin Röscheisen;journals/computer/PaepckeCGHKRW96|conf/dl/CousinsKPGHR95;Chiang Mai Vocational College;http://www.cmvc.ac.th/
Martin S. Feather;journals/scp/LondonF82|journals/tse/JohnsonFH92|journals/tse/Feather89|journals/toplas/Feather87|conf/kbse/FeatherFH91;Université Rennes II - Haute-Bretagne;http://www.uhb.fr/
Martin S. McKendry;conf/podc/AllchinM83|conf/srds/McKendryH86;Augustana University College;http://www.augustana.ab.ca/
Martin S. Olivier;journals/tods/OliverS94;Université Gaston Berger Saint-Louis;http://www.ugb.sn/
Martin Schneider 0006;conf/edbt/BerckenSS00;Université d'Aix-Marseille III;http://www.u-3mrs.fr/
Martin Schulze;conf/compcon/SchulzeKP89;Blessing-Rieman College of Nursing;http://www.brcn.edu/
Martin Schönhoff;journals/sigmod/ConradEHRSSSV97|conf/ngits/SchonhoffS99;Higher Institute of Business Administration;http://www.hiba.edu.sy/
Martin Sköld;journals/debu/RischS92|conf/icde/SkoldR96|conf/ngits/FahlRS93|conf/cikm/LinRSB96;Birla Institute of Technology, Ranchi;http://bitmesraranchi.org/
Martin Stanley;conf/sigmod/NixonCLBMS87|conf/coopis/MylopoulosGKS96|conf/db-workshops/NixonCLBMS85;Harding University Graduate School of Religion;http://www.hugsr.edu/
Martin Staudt 0001;journals/sigmod/BorgidaCS98|journals/sigmod/VetterliVS00|journals/sigmod/GatziuJSV99|conf/vldb/KietzRS97|conf/vldb/StaudtJ96|conf/edbt/BuchheitJNS94|journals/jiis/JarkeGJS95|journals/is/BuchheitJNS94|journals/apin/StaudtNJ94;Queensland University of Technology;http://www.qut.edu.au/
Martin Steeg;conf/er/AlbrechtAS97|conf/er/Steeg96|conf/adbis/AlbrechtAS97;Adnan Menderes University;http://www.adu.edu.tr/
Martin Tompa;conf/stoc/Tompa80a;Tabari Institute of Higher Education;http://www.tabari.ac.ir/ 
Martin V. Appel;conf/ssdbm/GillmanAL96;Massey University;http://www.massey.ac.nz/
Martin Wirsing;conf/vldb/DoschMW82|journals/acta/WirsingPPD83|journals/tcs/Wirsing86|conf/esec/WirsingHS89|conf/stacs/LeszczylowskiW91|conf/fct/SannellaW83;Al al-Bayt University;http://www.aabu.edu.jo/
Martin Wunderli;conf/er/NorrieW94|conf/er/NorrieSWW96|journals/is/NorrieW97;Prince Mohammad Bin Fahd University;http://www.pmu.edu.sa/
Martin Zirkel;conf/icde/MarklZB99;Zhengzhou University of Technology;http://www.zzut.edu.cn/
Martin van den Berg;conf/vldb/ChakrabartiBD99|journals/cn/ChakrabartiBD99;Ecole Nationale Vétérinaire d'Alfort;http://www.vet-alfort.fr/
Martti Penttonen;journals/jal/DietzfelbingerHKP97;Lampang Vocational College   ;http://www.lampangvc.ac.th/
Marty Sachs;conf/ercimdl/DanDNSSKD98;Logan College of Chiropractic;http://www.logan.edu/
Marty Tenenbaum;conf/ijcai/AmarelDNSTW91;Universidade Vale do Rio dos Sinos;http://www.unisinos.br/
Martín Abadi;conf/dbpl/CardelliMA93|journals/jfp/AbadiCPR95|journals/jsc/AbadiM89|journals/jacm/AbadiM90|journals/tocs/BurrowsAN90|journals/toplas/AbadiCPP91|journals/toplas/AbadiBLP93|journals/toplas/AbadiC96|conf/ecoop/AbadiC95|conf/popl/AbadiCPP89|conf/slp/AbadiM87;University of Leeds;http://www.leeds.ac.uk/
Marvin A. Sirbu;journals/cacm/ChristelKMRSSW95|conf/compcon/SirbuT95;Indian Institute of Technology, Guwahati;http://www.iitg.ernet.in/
Marvin B. Shapiro;journals/cacm/Shapiro77;University of East Srarajevo;http://www.unssa.rs.ba/
Marvin C. Paull;journals/csur/RyderP86;Schiller International University, Paris;http://www.schillerparis.com/
Marvin H. Solomon;journals/vldb/TsatalosSI96|conf/icde/McAuliffeS95|conf/sigmod/CareyDFHMNSSTTWZ94|conf/sigmod/McAuliffeCS96|conf/vldb/TsatalosSI94|journals/tse/DeWittFS87|conf/scm/AdamsS95|conf/sosp/SolomonF79;Universidad Tecnologica de la Mixteca;http://www.utm.mx/
Marvin Lum;conf/icdcs/ChanBHKL84;Kent State University - Stark;http://www.stark.kent.edu/
Marvin Minsky;journals/cacm/MinskyR94|journals/aim/Minsky91;Fontbonne College;http://www.fontbonne.edu/
Marvin O. Tharp;journals/csur/TaggartT77;University of Wisconsin - Stout;http://www.uwstout.edu/
Marvin S. Schwarz;conf/sigmod/GiordanoS76;University of Pittsburgh at Bradford;http://www.upb.pitt.edu/
Marvin Theimer;journals/debu/TerryPST98|conf/pdis/TerryDPSTW94|conf/sosp/PetersenSTTD97|conf/sosp/SpreitzerT93|conf/sosp/TerryTPDSH95;Universidad Nacional del Nordeste;http://www.unne.edu.ar/
Marwan Krunz;conf/sigmetrics/KrunzH95;California Institute of Integral Studies;http://www.ciis.edu/
Mary Angela Papalaskaris;journals/computer/SchubertPT83;Lampang Vocational College   ;http://www.lampangvc.ac.th/
Mary Ann Marcinkiewicz;journals/coling/MarcusSM94;Catholic University of Pusan;http://www.cup.ac.kr/
Mary Baker;conf/usenix/BakerZCS96|conf/sosp/BakerHKSO91|conf/asplos/BakerADOS92;Fachhochschule JOANNEUM;http://www.fh-joanneum.at/
Mary Diane Palmer Leland;conf/iwdm/LelandR87|conf/iwdm/LelandR85;University of South Africa;http://www.unisa.ac.za/
Mary E. S. Loomis;journals/tods/EffelsbergL84|journals/csur/AllenLM82|conf/sigmod/Loomis80|conf/ecoop/LoomisSR87|conf/icod/LoomisA80;Les Roches Gruyère University of Applied Sciences;http://www.lrguas.ch/
Mary Elaine Califf;journals/jair/MooneyC95;Universidade Metodista de Piracicaba;http://www.unimep.br/
Mary Ellen Bock;journals/siamcomp/BermanBDOP86;University of Alaska - Fairbanks;http://www.uaf.edu/
Mary F. Fernandez;journals/debu/FernandezFLS98|conf/icde/FernandezS98|conf/dbpl/FernandezPS97|conf/icdt/BunemanDFS97|journals/sigmod/FernandezFLS97|journals/vldb/BunemanFS00|journals/cn/FernandezTS00|conf/pos/FernandezZ89|conf/krdb/FernandezFLS98;Belarussian State Technological University;http://www.bstu.unibel.by/
Mary F. Fernández;journals/debu/DeutschFFLMS99|conf/sigmod/FernandezFKLS98|conf/sigmod/DeutschFS99|conf/sigmod/FernandezFKLS97|conf/icdt/FernandezSW01|journals/cn/DeutschFFLS99|conf/fsttcs/FernandezSW00;Coker College;http://www.coker.edu/
Mary Jane Willshire;conf/icde/Willshire91;Kyoritsu Woman's University;http://www.kyoritsu-wu.ac.jp/
Mary K. Vernon;journals/tc/HollidayV87|journals/tse/HollidayV87|conf/sigmetrics/VoelkerJVLL97|conf/sigmetrics/PatelCV94|conf/isca/ScottGV92;Fachhochschule JOANNEUM;http://www.fh-joanneum.at/
Mary Lou Soffa;conf/oopsla/SharmaS91;Ecole des Ingénieurs de la Ville de Paris;http://www.eivp-paris.fr/
Mary McLeish;journals/tods/McLeish89|conf/ssdbm/McLeishCL90|conf/ssdbm/McLeishCL88|conf/ssdbm/McLeish83|conf/ieaaie/McLeish88;Moody Bible Institute;http://www.moody.edu/
Mary Mitchell;journals/dke/KrishnamurthySLMB88;Osaka University;http://www.osaka-u.ac.jp/
Mary Pat Reeve;conf/usenix/SteinMDRDRG94;Kanazawa University;http://www.kanazawa-u.ac.jp/
Mary R. Thompson;conf/popl/JonesRT85|conf/usenix/TevanianRYGTBS87;Saybrook Institute;http://www.saybrook.org/
Mary Shaw;journals/cacm/ShawWL77|journals/tse/WulfLS76|journals/tse/ShawDKRYZ95|conf/db-workshops/Shaw82;University of National and World Economy;http://www.unwe.acad.bg/
Mary Shepherd;journals/cacm/LenatGPPS90|journals/aim/LenatPS86;Tohoku Institute of Technology;http://www.tohtech.ac.jp
Mary Tork Roth;journals/debu/HaasMNRSW99|conf/sigmod/RothAHCCFSTW96|conf/vldb/RothOH99|conf/vldb/RothS97|conf/vdb/CodyHNACFFLPSTRWW95|conf/btw/MattosKRZ99;Tabari Institute of Higher Education;http://www.tabari.ac.ir/ 
Mary-Anne Williams;conf/kr/Williams94;Kanazawa University;http://www.kanazawa-u.ac.jp/
Maryam Alavi;journals/cacm/Alavi84;Brunel University Uxbridge;http://www.brunel.ac.uk/
María Angeles Pastor;conf/daisd/CelmaCMPM91;Ecole des Ingénieurs de la Ville de Paris;http://www.eivp-paris.fr/
María M. Guzmán;journals/sigplan/HudakPWBFFGHHJKNPP92;Gifu University for Education and Languages;http://www.gifu-kyoiku.ac.jp/
María M. Larrondo-Petrie;conf/dbsec/Larrondo-PetrieGSF89;University of Agriculture Makurdi;http://www.uam.edu.ng/
María Virginia Mauco;conf/er/CoboMRR99;"Academy of Economics ""Dimitur A. Tscenov""";http://www.uni-svishtov.bg/
María del Carmen Romero;conf/er/CoboMRR99;Kent State University - Stark;http://www.stark.kent.edu/
Mas Tsuchiya;journals/tkde/CerconeT93;St. Petersburg State Polytechnical University;http://www.spbstu.ru/
Masaaki Abe;conf/icde/ItohASM87|conf/fgcs/SakaiIKATSM84;Cyberjaya University College of Medical Science;http://www.cybermed.edu.my/
Masaaki Aoshima;journals/tods/IshikawaSKMMIAY93|conf/vldb/AoshimaIMSY90;Universidad Albert Einstein;http://www.uae.edu.sv/
Masaaki Tsubaki;conf/er/TsubakiH79|conf/vldb/HotakaT77|conf/vldb/Tsubaki75|conf/sigmod/Tsubaki75;Kolej Universiti Insaniah;http://www.kuin.edu.my/
Masahide Ohtomo;conf/dasfaa/OhtomoI89;Pennsylvania State University - Abington;http://www.abington.psu.edu/
Masahiko Hirakawa;conf/icmcs/YoshitakaYHI96;Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló;http://www.barcelo.edu.ar/
Masahiko Sato 0001;conf/fgcs/SatoS84;Universidad Agroforestal Fernando A.Meriño;http://www.uafam.edu.do/
Masahiko Tsukamoto;journals/tkde/HaraHTN98|journals/tkde/GohTN96|conf/icde/HaraHTN98|conf/er/GohTN98|journals/monet/KadobayashiT96|conf/dood/YanagisawaTN95|conf/sac/HaraHTN97;Long Island University, Southampton College;http://www.southampton.liunet.edu/
Masahiro Honda;conf/icse/AdamsHM89;Meio University;http://www.meio-u.ac.jp/
Masahiro Kusaba;conf/dexa/HongTK92;Universidade Vale do Rio dos Sinos;http://www.unisinos.br/
Masahiro Morita;conf/sigir/MoritaS94;Meio University;http://www.meio-u.ac.jp/
Masahiro Oba;conf/fgcs/KoguchiKOI88;Universidad Albert Einstein;http://www.uae.edu.sv/
Masahiro Shimada;conf/dasfaa/ShimadaNISKI89;Carnegie Mellon University;http://www.cmu.edu/
Masahiro Tsuchiya;conf/icde/TsuchiyaM84|journals/tc/MaLT82;American University of Beirut;http://www.aub.edu.lb/
Masahisa Tamura;conf/vldb/TamuraK99;Lincoln University Pennsylvania;http://www.lincoln.edu/
Masahito Hirakawa;journals/tkde/TsudaYHTI91|conf/icde/NakayamaHI84|journals/software/IchikawaH90|journals/tse/IchikawaH86|journals/vlc/TsudaYHTI90|journals/vlc/YoshitakaHYHI96;Tyumen State University;http://www.tsu.tmn.ru/
Masajiro Iwasaki;conf/dasfaa/OgawaBINH93|conf/sigir/OgawaI95;Université Rennes II - Haute-Bretagne;http://www.uhb.fr/
Masakazu Soga;conf/iwdm/NakamuraMMIS87;Ecole Centrale de Lyon;http://www.ec-lyon.fr/
Masaki Ishiguro;journals/tcs/HasegawaII95;Universidad Autónoma de Nuevo León;http://www.uanl.mx/
Masaki Nakamura 0002;conf/dasfaa/IkedaKNU91;Heisei International University;http://www.hiu.ac.jp/
Masako Hirose;conf/dasfaa/OgawaBINH93;Universidade Vale do Rio dos Sinos;http://www.unisinos.br/
Masako Takahashi;journals/iandc/Takahashi75;Wuhan University;http://www.whu.edu.cn/
Masami Shishibori;journals/tkde/AoeMSP96;Haramaya University;http://www.haramaya.edu.et/
Masami Takahashi;conf/icde/ToriiKYSTKTI87|conf/icde/ToriiKKSYT88;University of Pittsburgh at Bradford;http://www.upb.pitt.edu/
Masamitsu Kobayashi;conf/conpar/MomoiSKI86;Azerbaijan State Economic University;http://www.aseu.az/
Masanobu Ogata;conf/srds/SugiharaKYO84;Zhengzhou University of Technology;http://www.zzut.edu.cn/
Masanori Yoshimitsu;journals/vlc/YoshitakaHYHI96|conf/icmcs/YoshitakaYHI96;University of Alaska - Fairbanks;http://www.uaf.edu/
Masao Sakauchi;journals/tkde/NakamuraAOS93|conf/icde/OhsawaS90|conf/ifip/OhsawaS83|conf/icmcs/GongZCS94;Trakia University Stara Zagora;http://www.uni-sz.bg/
Masaru Kitsuregawa;conf/icde/OhmoriKT90|conf/icde/KitsuregawaTN92|conf/icde/OhmoriKT91|conf/icde/KitsuregawaNT89|conf/icde/KitsuregawaNHT87|conf/icde/KitsuregawaHT89|conf/icde/NakanoIK98|conf/icde/KitsuregawaNT91|conf/dasfaa/HaradaK95|conf/dasfaa/KitsuregawaM91|conf/dasfaa/NemotoKT97|conf/dasfaa/KitsuregawaNT89|conf/dasfaa/TamuraK97|conf/sigmod/FushimiK93|conf/sigmod/LeeKOTM00|conf/sigmod/ShintaniK98|conf/sigmod/MogiK96|conf/sigmod/FushimiKNTM85|conf/vldb/MogiK95|conf/vldb/NakayamaK88|conf/vldb/TamuraK99|conf/vldb/FushimiKT86|conf/vldb/KitsuregawaNT89|conf/vldb/HaradaNKT90|conf/vldb/KitsuregawaO90|conf/pdis/MogiK94|conf/dolap/MutoK98|conf/dolap/MutoK99|journals/ngc/KitsuregawaTM83|conf/pos/SuzukiKT94|conf/icpp/TamuraNKO96|conf/dpds/KitsuregawaNHT90|conf/pdis/ShintaniK96|conf/iwdm/KitsuregawaYST87|conf/iwdm/KitsuregawaYF89|conf/fodo/FushimiKTM85;University of Nigeria;http://www.unn.edu.ng/
Masaru Nakagawa;conf/er/NakawataseYKN94|conf/dexa/SekineNKK92;Somaliland University of Technology;http://www.somtech.org/
Masaru Ohki;conf/fgcs/FurukawaTKYOU84;American University in Dubai;http://www.aud.edu/
Masaru Tabata;conf/dexaw/KawashimaTKM96;College of St. Elizabeth;http://www.st-elizabeth.edu/
Masashi Tsuchida;conf/vldb/SatohTNO85;Ecole Nationale Vétérinaire d'Alfort;http://www.vet-alfort.fr/
Masashi Yamamuro;conf/er/NakawataseYKN94;Evangel University;http://www.evangel.edu/
Masato Saito;conf/dasfaa/MasaiYISMSHY89;University of South Africa;http://www.unisa.ac.za/
Masatomo Yazaki;conf/usenix/NakajimaYM91;Fachhochschule St. Pölten;http://www.fh-stpoelten.ac.at/
Masatoshi Arikawa;conf/dasfaa/Arikawa91|conf/dasfaa/KitakamiMAS97|conf/gis/HorikawaATK97|conf/dexa/KitakamiMA96|conf/adb/ArikawaKK94;Ecole Nationale Vétérinaire d'Alfort;http://www.vet-alfort.fr/
Masatoshi Yoshikawa;journals/debu/HullWWY91|conf/icde/TanakaYI88|conf/er/KatoY98|conf/sigmod/KambayashiYY82|conf/sigmod/KambayashiY83|conf/vldb/HullY90|conf/vldb/YoshikawaK84|conf/pods/HullY91|conf/edbt/YoshikawaIU96|conf/icdt/TanakaY88|conf/birthday/HullY92|conf/fodo/HullTY89;University of Alaska - Fairbanks;http://www.uaf.edu/
Masatsugu Kitagawa;conf/ht/TajimaMKT98;Dayalbagh Educational Institute;http://www.dei.ac.in/
Masatsugu Nakahata;conf/dasfaa/NishioNM89;Voronezh State University;http://www.vsu.ru/
Masaya Nakayama;conf/sigmod/FushimiKNTM85|conf/vldb/NakayamaK88|conf/vldb/KitsuregawaNT89;Siam Technology College;http://www.siamtechu.net/
Masayo Kaji;conf/dasfaa/CarlosKHU99|conf/fodo/KajiU98;Gifu University for Education and Languages;http://www.gifu-kyoiku.ac.jp/
Masayoshi Aritsugi;conf/er/AmagasaATK98|conf/dexa/AritsugiTAK97|conf/dexaw/AmagasaAK98|conf/caise/TagashiraAAK97;Southeastern Oklahoma State University;http://www.sosu.edu/
Masayoshi Tezuka;conf/vldb/MakinouchiTKA81;Western Bible College;http://www.westernbible.edu/
